Specimen ID,Specimen,Plate ID,Well ID,Sample,Run Time,All Abs. Count,mChe+SYTO-9 Abs. Count,SYTO-9 Abs. Count,SYTO-9 Mean FITC-H,mChe+SYTO-9 Mean FITC-H,mChe+SYTO-9 Mean PE-Texas Red-H
1,Specimen1,1,A1,Sample1,10/5/2017 10:29:33 AM,179617,650,21017,73636,286548,15649
1,Specimen1,1,A2,Sample2,10/5/2017 10:31:14 AM,154700,683,22083,69813,264941,9225
1,Specimen1,1,A3,Sample3,10/5/2017 10:32:54 AM,149933,617,25417,75202,351591,9741
1,Specimen1,1,A1,Sample4,10/5/2017 10:34:35 AM,160767,217,17200,67251,283784,18384
1,Specimen1,1,A2,Sample5,10/5/2017 10:36:16 AM,178533,433,21100,66604,275728,4785
1,Specimen1,1,A3,Sample6,10/5/2017 10:37:56 AM,185467,417,23050,75117,202240,7570
1,Specimen1,1,A1,Sample7,10/5/2017 10:39:37 AM,247200,1283,33.3,31740,919,2036
1,Specimen1,1,A2,Sample8,10/5/2017 10:41:18 AM,248850,1000,66.7,50852,779,2025
1,Specimen1,1,A3,Sample9,10/5/2017 10:42:59 AM,271833,1350,183,5881,966,2363
1,Specimen1,1,B1,Sample55,10/5/2017 10:44:39 AM,16120,210,110,44362,2321,12309
1,Specimen1,1,B2,Sample56,10/5/2017 10:46:58 AM,14820,80,170,132400,14425,21240
1,Specimen1,1,B3,Sample57,10/5/2017 10:49:16 AM,15860,80,220,73669,2534,6662
1,Specimen1,1,C1,Sample10,10/5/2017 10:51:34 AM,1978600,1831017,13883,18928,1813,8466
1,Specimen1,1,C2,Sample11,10/5/2017 10:53:15 AM,2169050,2050950,18233,22136,3261,8298
1,Specimen1,1,C3,Sample12,10/5/2017 10:54:56 AM,2335667,2220533,20217,22994,3005,8101
1,Specimen1,1,C1,Sample13,10/5/2017 10:56:37 AM,1895833,1736283,14400,17203,1687,8514
1,Specimen1,1,C2,Sample14,10/5/2017 10:58:17 AM,2260267,2097717,18200,20621,3118,8335
1,Specimen1,1,C3,Sample15,10/5/2017 10:59:58 AM,2540633,2379100,21050,21838,2869,8095
1,Specimen1,1,C1,Sample16,10/5/2017 11:01:39 AM,303700,1250,66.7,4746,853,2375
1,Specimen1,1,C2,Sample17,10/5/2017 11:03:19 AM,241967,1650,750,37647,5081,10924
1,Specimen1,1,C3,Sample18,10/5/2017 11:05:00 AM,272233,1300,50,6507,636,1890
1,Specimen1,1,D1,Sample58,10/5/2017 11:06:41 AM,15340,10,510,69541,2633,7638
1,Specimen1,1,D2,Sample59,10/5/2017 11:09:00 AM,16770,60,560,62748,2521,4602
1,Specimen1,1,D3,Sample60,10/5/2017 11:11:18 AM,16640,80,420,61522,1063,2499
1,Specimen1,1,E1,Sample19,10/5/2017 11:13:36 AM,2404567,2184483,41433,23648,3276,8232
1,Specimen1,1,E2,Sample20,10/5/2017 11:15:17 AM,2352350,2198600,31700,26205,2695,8435
1,Specimen1,1,E3,Sample21,10/5/2017 11:16:58 AM,2468700,2340833,20783,31762,2452,8086
1,Specimen1,1,E1,Sample22,10/5/2017 11:18:39 AM,2358200,2134067,42567,20934,3080,8133
1,Specimen1,1,E2,Sample23,10/5/2017 11:20:20 AM,2432300,2237250,32717,24847,2562,8358
1,Specimen1,1,E3,Sample24,10/5/2017 11:22:00 AM,2702917,2525733,23400,30714,2370,8051
1,Specimen1,1,E1,Sample25,10/5/2017 11:23:41 AM,248433,2683,1183,25537,3691,6501
1,Specimen1,1,E2,Sample26,10/5/2017 11:25:22 AM,262733,1217,400,35205,1443,2950
1,Specimen1,1,E3,Sample27,10/5/2017 11:27:03 AM,275300,1300,16.7,4458,741,1926
1,Specimen1,1,F1,Sample61,10/5/2017 11:28:44 AM,15990,70,530,38474,8663,5637
1,Specimen1,1,F2,Sample62,10/5/2017 11:31:02 AM,15730,10,720,58100,532,2426
1,Specimen1,1,F3,Sample63,10/5/2017 11:33:21 AM,15600,80,430,40819,2923,6797
1,Specimen1,1,G1,Sample64,10/5/2017 11:35:39 AM,15210,20,530,53263,29230,28949
1,Specimen1,1,G2,Sample65,10/5/2017 11:37:57 AM,15340,50,440,56792,1455,2305
1,Specimen1,1,G3,Sample66,10/5/2017 11:40:15 AM,16510,90,610,53549,1097,2555
1,Specimen1,1,A5,Sample28,10/5/2017 11:42:34 AM,783033,635083,35467,39369,18615,12707
1,Specimen1,1,A6,Sample29,10/5/2017 11:44:15 AM,856700,725767,28017,35603,22625,12177
1,Specimen1,1,A7,Sample30,10/5/2017 11:45:56 AM,121767,617,3767,27223,79522,8130
1,Specimen1,1,A5,Sample31,10/5/2017 11:47:36 AM,982583,787933,33783,35498,16658,12704
1,Specimen1,1,A6,Sample32,10/5/2017 11:49:17 AM,1094167,913667,28467,33921,20075,12214
1,Specimen1,1,A7,Sample33,10/5/2017 11:50:58 AM,170083,683,4217,30750,177789,16620
1,Specimen1,1,A5,Sample34,10/5/2017 11:52:39 AM,238967,1367,16.7,21472,1311,6122
1,Specimen1,1,A6,Sample35,10/5/2017 11:54:19 AM,247983,1167,50,203153,824,2010
1,Specimen1,1,A7,Sample36,10/5/2017 11:56:00 AM,258800,1333,83.3,9176,1321,2837
1,Specimen1,1,B5,Sample67,10/5/2017 11:57:41 AM,18720,60,300,76096,1020,2389
1,Specimen1,1,B6,Sample68,10/5/2017 11:59:59 AM,15860,70,130,71280,1287,3307
1,Specimen1,1,B7,Sample69,10/5/2017 12:02:18 PM,15990,70,240,62094,1350,5061
1,Specimen1,1,C5,Sample37,10/5/2017 12:04:36 PM,3345117,3233067,29933,28676,15742,8961
1,Specimen1,1,C6,Sample38,10/5/2017 12:06:16 PM,1091783,982433,18533,39234,16654,12294
1,Specimen1,1,C7,Sample39,10/5/2017 12:07:57 PM,659317,541033,19500,32776,13085,12097
1,Specimen1,1,C5,Sample40,10/5/2017 12:09:38 PM,3809650,3685033,32800,27914,15091,8977
1,Specimen1,1,C6,Sample41,10/5/2017 12:11:19 PM,1108250,993100,20917,37283,15659,12243
1,Specimen1,1,C7,Sample42,10/5/2017 12:12:59 PM,700917,575083,20067,31812,12209,12038
1,Specimen1,1,C5,Sample43,10/5/2017 12:14:40 PM,252250,1450,83.3,96337,3001,4147
1,Specimen1,1,C6,Sample44,10/5/2017 12:16:21 PM,291117,1217,16.7,5724,817,1914
1,Specimen1,1,C7,Sample45,10/5/2017 12:18:01 PM,270850,1317,16.7,4485,787,1968
1,Specimen1,1,D5,Sample70,10/5/2017 12:19:42 PM,16120,120,270,98123,17688,7603
1,Specimen1,1,D6,Sample71,10/5/2017 12:22:01 PM,16120,60,190,64265,2418,11256
1,Specimen1,1,D7,Sample72,10/5/2017 12:24:19 PM,16510,120,200,86703,1081,4589
1,Specimen1,1,E5,Sample46,10/5/2017 12:26:38 PM,126750,317,10833,18631,223965,7544
1,Specimen1,1,E6,Sample47,10/5/2017 12:28:19 PM,107467,367,5483,26378,233570,6013
1,Specimen1,1,E7,Sample48,10/5/2017 12:29:59 PM,103783,333,5750,24195,702661,8749
1,Specimen1,1,E5,Sample49,10/5/2017 12:31:40 PM,131950,300,10317,17879,90336,3812
1,Specimen1,1,E6,Sample50,10/5/2017 12:33:21 PM,109850,250,5600,23096,121639,5816
1,Specimen1,1,E7,Sample51,10/5/2017 12:35:02 PM,106600,383,5100,26717,241629,4999
1,Specimen1,1,E5,Sample52,10/5/2017 12:36:42 PM,267483,1233,16.7,0,816,1935
1,Specimen1,1,E6,Sample53,10/5/2017 12:38:23 PM,252700,933,16.7,5377,655,1925
1,Specimen1,1,E7,Sample54,10/5/2017 12:40:04 PM,281583,1250,0,0,760,2049
1,Specimen1,1,F5,Sample73,10/5/2017 12:41:45 PM,16510,50,130,26800,2400,3401
1,Specimen1,1,F6,Sample74,10/5/2017 12:44:03 PM,18070,50,30,53124,767,6543
1,Specimen1,1,F7,Sample75,10/5/2017 12:46:22 PM,17810,90,120,90940,754,3094
1,Specimen1,1,G5,Sample76,10/5/2017 12:48:40 PM,16380,80,140,51357,723,1970
1,Specimen1,1,G6,Sample77,10/5/2017 12:50:58 PM,16120,100,40,121276,3029,5974
1,Specimen1,1,G7,Sample78,10/5/2017 12:53:17 PM,15860,80,100,48982,1678,3964
