Specimen ID,Specimen,Plate ID,Well ID,Sample,Run Time,All Abs. Count,mChe+SYTO-9 Abs. Count,SYTO-9 Abs. Count,SYTO-9 Mean FITC-H,mChe+SYTO-9 Mean FITC-H,mChe+SYTO-9 Mean PE-Texas Red-H
1,Specimen1,1,A1,Sample1,10/6/2017 6:13:29 PM,475800,2200,171800,69086,142748,7068
1,Specimen1,1,A2,Sample2,10/6/2017 6:15:00 PM,291720,900,164660,73946,323457,60833
1,Specimen1,1,A3,Sample3,10/6/2017 6:16:31 PM,282100,1260,165140,78263,218461,14422
1,Specimen1,1,A1,Sample4,10/6/2017 6:18:03 PM,274300,1400,158700,67124,238905,9867
1,Specimen1,1,A2,Sample5,10/6/2017 6:19:34 PM,263120,760,149480,67900,280413,8917
1,Specimen1,1,A3,Sample6,10/6/2017 6:21:06 PM,272220,920,157680,77974,484246,9733
1,Specimen1,1,A1,Sample7,10/6/2017 6:22:37 PM,285100,1320,0,0,1023,3102
1,Specimen1,1,A2,Sample8,10/6/2017 6:24:09 PM,256800,1620,20,0,1201,2882
1,Specimen1,1,A3,Sample9,10/6/2017 6:25:40 PM,236100,1340,100,22867,3787,7473
1,Specimen1,1,B1,Sample55,10/6/2017 6:27:12 PM,388960,90,2530,7554,4162,2791
1,Specimen1,1,B2,Sample56,10/6/2017 6:29:30 PM,416910,80,2350,8566,12210,3988
1,Specimen1,1,B3,Sample57,10/6/2017 6:31:48 PM,422500,220,2670,7692,5170,2148
1,Specimen1,1,C1,Sample10,10/6/2017 6:34:06 PM,243100,158300,3000,25382,66810,10725
1,Specimen1,1,C2,Sample11,10/6/2017 6:35:38 PM,289640,219100,5700,30373,67367,10808
1,Specimen1,1,C3,Sample12,10/6/2017 6:37:09 PM,298740,226920,6120,31988,69593,11246
1,Specimen1,1,C1,Sample13,10/6/2017 6:38:41 PM,224640,155080,2000,28862,64660,10175
1,Specimen1,1,C2,Sample14,10/6/2017 6:40:12 PM,297440,218320,5540,26399,66052,10846
1,Specimen1,1,C3,Sample15,10/6/2017 6:41:44 PM,302380,224720,6200,27523,69249,11233
1,Specimen1,1,C1,Sample16,10/6/2017 6:43:15 PM,239860,1340,160,16546,9127,10430
1,Specimen1,1,C2,Sample17,10/6/2017 6:44:46 PM,264080,1240,60,13168,2434,2776
1,Specimen1,1,C3,Sample18,10/6/2017 6:46:18 PM,281040,109980,2720,27356,70785,11676
1,Specimen1,1,D1,Sample58,10/6/2017 6:47:49 PM,379730,780,3180,6983,57328,15039
1,Specimen1,1,D2,Sample59,10/6/2017 6:50:08 PM,411060,280,5920,5929,28284,5823
1,Specimen1,1,D3,Sample60,10/6/2017 6:52:26 PM,423670,320,5310,7229,24587,65151
