Specimen ID,Specimen,Plate ID,Well ID,Sample,Run Time,All Abs. Count,mChe+SYTO-9 Abs. Count,SYTO-9 Abs. Count,SYTO-9 Mean FITC-H,mChe+SYTO-9 Mean FITC-H,mChe+SYTO-9 Mean PE-Texas Red-H
1,MixedC_StainedSYTO9,1,A1,Sample1,10/11/2017 5:15:00 PM,570440,7480,84520,87312,129507,3991
1,MixedC_StainedSYTO9,1,A2,Sample2,10/11/2017 5:16:31 PM,426920,6020,107540,97967,160305,3413
1,MixedC_StainedSYTO9,1,A3,Sample3,10/11/2017 5:18:03 PM,487240,5800,126440,105809,263827,5970
1,MixedC_StainedSYTO9,1,A1,Sample4,10/11/2017 5:19:34 PM,470860,4820,88000,87995,146342,2650
1,MixedC_StainedSYTO9,1,A2,Sample5,10/11/2017 5:21:06 PM,393120,6120,98160,98882,176885,2692
1,MixedC_StainedSYTO9,1,A3,Sample6,10/11/2017 5:22:37 PM,483860,6300,121920,106369,289230,6982
1,MixedC_StainedSYTO9,1,G1,Sample10,10/11/2017 5:24:09 PM,170040,2660,590,78525,4456,1273
1,MixedC_StainedSYTO9,1,C1,Sample11,10/11/2017 5:26:27 PM,544960,390860,1360,100972,20992,3748
1,MixedC_StainedSYTO9,1,C2,Sample12,10/11/2017 5:27:59 PM,720200,569820,2600,79999,24751,3748
1,MixedC_StainedSYTO9,1,C3,Sample13,10/11/2017 5:29:30 PM,620360,453360,4660,90218,29601,3705
1,MixedC_StainedSYTO9,1,C1,Sample14,10/11/2017 5:31:02 PM,531960,381060,1320,88665,19627,3787
1,MixedC_StainedSYTO9,1,C2,Sample15,10/11/2017 5:32:33 PM,710320,557920,1780,88116,24864,3845
1,MixedC_StainedSYTO9,1,C3,Sample16,10/11/2017 5:34:04 PM,621140,456920,3720,86974,26368,3827
1,MixedC_StainedSYTO9,1,G2,Sample20,10/11/2017 5:35:36 PM,165750,3780,90,87027,9413,2103
1,MixedC_StainedSYTO9,1,E1,Sample21,10/11/2017 5:37:54 PM,580580,379160,15240,97842,21329,3801
1,MixedC_StainedSYTO9,1,E2,Sample22,10/11/2017 5:39:26 PM,714480,493880,20100,104400,22537,3718
1,MixedC_StainedSYTO9,1,E3,Sample23,10/11/2017 5:40:57 PM,592280,330020,30100,85504,26441,3664
1,MixedC_StainedSYTO9,1,E1,Sample24,10/11/2017 5:42:29 PM,565760,363580,12820,102848,21290,4051
1,MixedC_StainedSYTO9,1,E2,Sample25,10/11/2017 5:44:00 PM,695500,475440,17560,107141,22536,3820
1,MixedC_StainedSYTO9,1,E3,Sample26,10/11/2017 5:45:31 PM,598260,331500,27960,89488,27375,3948
1,MixedC_StainedSYTO9,1,G3,Sample30,10/11/2017 5:47:03 PM,168740,4290,140,77313,7745,1726
2,Toluene_StainedSYTO9,1,A4,Sample1,10/11/2017 5:49:21 PM,167180,1800,780,121279,68143,2917
2,Toluene_StainedSYTO9,1,A5,Sample2,10/11/2017 5:50:53 PM,154960,1480,840,68543,37283,1929
2,Toluene_StainedSYTO9,1,A6,Sample3,10/11/2017 5:52:24 PM,160940,1500,1100,76275,31102,1643
2,Toluene_StainedSYTO9,1,A4,Sample4,10/11/2017 5:53:56 PM,171860,1260,1000,73564,30132,1158
2,Toluene_StainedSYTO9,1,A5,Sample5,10/11/2017 5:55:27 PM,167700,1640,740,71357,47962,4644
2,Toluene_StainedSYTO9,1,A6,Sample6,10/11/2017 5:56:59 PM,174980,1800,1060,60309,31076,2571
2,Toluene_StainedSYTO9,1,G4,Sample10,10/11/2017 5:58:30 PM,163670,2800,50,78390,2831,1289
2,Toluene_StainedSYTO9,1,C4,Sample11,10/11/2017 6:00:49 PM,428740,280280,6640,75875,76481,4585
2,Toluene_StainedSYTO9,1,C5,Sample12,10/11/2017 6:02:20 PM,579800,430820,8240,83508,83945,4805
2,Toluene_StainedSYTO9,1,C6,Sample13,10/11/2017 6:03:52 PM,708760,527200,12040,84052,100758,4967
2,Toluene_StainedSYTO9,1,C4,Sample14,10/11/2017 6:05:23 PM,429260,273100,6320,69858,75991,4722
2,Toluene_StainedSYTO9,1,C5,Sample15,10/11/2017 6:06:55 PM,589940,428480,8240,81020,82740,4914
2,Toluene_StainedSYTO9,1,C6,Sample16,10/11/2017 6:08:26 PM,724100,541260,11580,82513,99785,5129
2,Toluene_StainedSYTO9,1,G5,Sample17,10/11/2017 6:09:58 PM,165490,3650,240,67913,17441,1723
2,Toluene_StainedSYTO9,1,E4,Sample18,10/11/2017 6:12:16 PM,628420,414700,15880,69494,82718,4871
2,Toluene_StainedSYTO9,1,E5,Sample19,10/11/2017 6:13:48 PM,368680,203300,11620,89754,75224,4781
2,Toluene_StainedSYTO9,1,E6,Sample20,10/11/2017 6:15:19 PM,603720,420440,7400,90017,89417,5364
2,Toluene_StainedSYTO9,1,E4,Sample21,10/11/2017 6:16:51 PM,624260,416080,13240,67269,81441,5003
2,Toluene_StainedSYTO9,1,E5,Sample22,10/11/2017 6:18:22 PM,371540,203020,10900,79988,75433,4931
2,Toluene_StainedSYTO9,1,E6,Sample23,10/11/2017 6:19:54 PM,587600,408040,6660,90885,89053,5457
2,Toluene_StainedSYTO9,1,G6,Sample24,10/11/2017 6:21:25 PM,162370,2600,160,93551,11536,1723
2,Toluene_StainedSYTO9,1,H1,Sample25,10/11/2017 6:23:44 PM,153400,1140,100,90734,2046,1071
2,Toluene_StainedSYTO9,1,H2,Sample26,10/11/2017 6:25:15 PM,150280,1700,60,100896,1134,1099
3,MixedC_Nonstained,1,A7,Sample1,10/11/2017 6:26:47 PM,549640,3080,2600,46928,2909,1083
3,MixedC_Nonstained,1,A8,Sample2,10/11/2017 6:28:18 PM,552760,2960,920,52247,1557,1024
3,MixedC_Nonstained,1,A9,Sample3,10/11/2017 6:29:50 PM,676520,3900,1540,48248,2427,1134
3,MixedC_Nonstained,1,A7,Sample4,10/11/2017 6:31:21 PM,588380,3440,1520,47086,4889,1025
3,MixedC_Nonstained,1,A8,Sample5,10/11/2017 6:32:53 PM,581620,3240,1100,55611,2339,1001
3,MixedC_Nonstained,1,A9,Sample6,10/11/2017 6:34:24 PM,702780,3820,1420,52384,1981,1152
3,MixedC_Nonstained,1,G7,Sample7,10/11/2017 6:35:57 PM,166140,2640,380,100671,2241,1221
3,MixedC_Nonstained,1,C7,Sample8,10/11/2017 6:38:16 PM,390520,189520,60,126473,167,3951
3,MixedC_Nonstained,1,C8,Sample9,10/11/2017 6:39:48 PM,544440,308020,60,258871,179,3879
3,MixedC_Nonstained,1,C9,Sample10,10/11/2017 6:41:19 PM,521560,269500,40,49878,245,3685
3,MixedC_Nonstained,1,C7,Sample11,10/11/2017 6:42:51 PM,390000,184920,20,72042,175,4060
3,MixedC_Nonstained,1,C8,Sample12,10/11/2017 6:44:22 PM,545740,308080,0,0,173,3941
3,MixedC_Nonstained,1,C9,Sample13,10/11/2017 6:45:54 PM,540540,280060,0,0,296,4028
3,MixedC_Nonstained,1,G8,Sample14,10/11/2017 6:47:27 PM,158730,3190,100,110408,2664,1789
3,MixedC_Nonstained,1,E7,Sample15,10/11/2017 6:49:46 PM,514020,231440,120,38347,187,4111
3,MixedC_Nonstained,1,E8,Sample16,10/11/2017 6:51:17 PM,555620,270920,140,46480,171,4114
3,MixedC_Nonstained,1,E9,Sample17,10/11/2017 6:52:49 PM,463580,168200,100,42744,232,3763
3,MixedC_Nonstained,1,E7,Sample18,10/11/2017 6:54:20 PM,510640,227140,100,38204,170,4070
3,MixedC_Nonstained,1,E8,Sample19,10/11/2017 6:55:52 PM,548600,261520,180,44142,181,4130
3,MixedC_Nonstained,1,E9,Sample20,10/11/2017 6:57:23 PM,477620,169920,180,47554,256,3990
3,MixedC_Nonstained,1,G9,Sample21,10/11/2017 6:58:55 PM,155870,3720,150,86911,2842,1438
4,Toluene_Nonstained,1,A10,Sample1,10/11/2017 7:01:15 PM,165100,700,60,34552,1551,1700
4,Toluene_Nonstained,1,A11,Sample2,10/11/2017 7:02:46 PM,166660,1280,140,59809,567,1146
4,Toluene_Nonstained,1,A12,Sample3,10/11/2017 7:04:18 PM,185380,1120,0,0,931,1087
4,Toluene_Nonstained,1,A10,Sample18,10/11/2017 7:05:49 PM,176280,1160,20,0,738,1023
4,Toluene_Nonstained,1,A11,Sample19,10/11/2017 7:07:21 PM,166660,640,40,0,0,0
4,Toluene_Nonstained,1,A12,Sample20,10/11/2017 7:08:52 PM,209420,3520,20,81348,4844,7464
4,Toluene_Nonstained,1,G10,Sample22,10/11/2017 7:10:25 PM,151060,2220,60,0,0,0
4,Toluene_Nonstained,1,C10,Sample23,10/11/2017 7:12:46 PM,524420,250820,20,0,0,0
4,Toluene_Nonstained,1,C11,Sample24,10/11/2017 7:14:17 PM,761020,415440,40,35231,267,3795
4,Toluene_Nonstained,1,C12,Sample28,10/11/2017 7:15:48 PM,1425320,899380,0,0,0,0
4,Toluene_Nonstained,1,C10,Sample29,10/11/2017 7:17:20 PM,570700,287280,20,0,0,0
4,Toluene_Nonstained,1,C11,Sample30,10/11/2017 7:18:51 PM,861380,503000,40,0,0,0
4,Toluene_Nonstained,1,C12,Sample31,10/11/2017 7:20:23 PM,1377220,858540,20,0,0,0
4,Toluene_Nonstained,1,G11,Sample32,10/11/2017 7:21:56 PM,147940,3800,70,0,0,0
4,Toluene_Nonstained,1,E10,Sample33,10/11/2017 7:24:15 PM,726180,333960,0,0,0,0
4,Toluene_Nonstained,1,E11,Sample34,10/11/2017 7:25:46 PM,538200,245480,20,0,0,0
4,Toluene_Nonstained,1,E12,Sample35,10/11/2017 7:27:18 PM,1305460,808400,40,0,0,0
4,Toluene_Nonstained,1,E10,Sample36,10/11/2017 7:28:49 PM,859300,432280,140,0,0,0
4,Toluene_Nonstained,1,E11,Sample37,10/11/2017 7:30:21 PM,592020,287920,20,0,0,0
4,Toluene_Nonstained,1,E12,Sample38,10/11/2017 7:31:52 PM,1243580,761620,0,0,0,0
4,Toluene_Nonstained,1,G12,Sample39,10/11/2017 7:33:24 PM,137540,4160,10,0,0,0
4,Toluene_Nonstained,1,H3,Sample40,10/11/2017 7:35:42 PM,150020,2210,20,0,0,0
4,Toluene_Nonstained,1,H4,Sample41,10/11/2017 7:38:00 PM,145730,2170,80,0,0,0
4,Toluene_Nonstained,1,H5,Sample42,10/11/2017 7:40:19 PM,147940,3010,110,0,0,0
4,Toluene_Nonstained,1,H6,Sample43,10/11/2017 7:42:37 PM,152620,2440,30,0,0,0
