Specimen ID,Specimen,Plate ID,Well ID,Sample,Run Time,All Abs. Count,mChe+SYTO-9 Abs. Count,SYTO-9 Abs. Count,SYTO-9 Mean FITC-H,mChe+SYTO-9 Mean FITC-H,mChe+SYTO-9 Mean PE-Texas Red-H
1,Specimen1,1,A1,Sample1,10/5/2017 1:27:15 PM,146380,480,20160,83872,224707,9452
1,Specimen1,1,A2,Sample2,10/5/2017 1:28:47 PM,121420,520,19240,85767,339600,9735
1,Specimen1,1,A3,Sample3,10/5/2017 1:30:18 PM,112840,340,6720,2547,7948,95160
1,Specimen1,1,A1,Sample4,10/5/2017 1:31:49 PM,107380,220,14360,90844,126736,6580
1,Specimen1,1,A2,Sample5,10/5/2017 1:33:21 PM,108160,660,16520,87611,227433,10697
1,Specimen1,1,A3,Sample6,10/5/2017 1:34:52 PM,120900,180,7440,2873,2372,3292
1,Specimen1,1,A1,Sample7,10/5/2017 1:36:23 PM,250660,840,440,2704,753,2105
1,Specimen1,1,A2,Sample8,10/5/2017 1:37:55 PM,165220,700,5140,86200,207114,4037
1,Specimen1,1,A3,Sample9,10/5/2017 1:39:26 PM,190260,440,2900,3389,880,2146
1,Specimen1,1,B1,Sample55,10/5/2017 1:40:57 PM,17290,50,180,21224,7344,18576
1,Specimen1,1,B2,Sample56,10/5/2017 1:43:16 PM,17550,30,260,18090,650,2608
1,Specimen1,1,B3,Sample57,10/5/2017 1:45:34 PM,23790,90,340,39291,1050,4939
1,Specimen1,1,C1,Sample10,10/5/2017 1:47:52 PM,273520,182760,6820,7779,21348,8507
1,Specimen1,1,C2,Sample11,10/5/2017 1:49:24 PM,257660,182720,5820,7511,18108,8431
1,Specimen1,1,C3,Sample12,10/5/2017 1:50:55 PM,287560,209620,5980,8502,20225,8683
1,Specimen1,1,C1,Sample13,10/5/2017 1:52:27 PM,255320,166980,6580,6607,21094,8592
1,Specimen1,1,C2,Sample14,10/5/2017 1:53:58 PM,276380,182580,5720,6041,17347,8556
1,Specimen1,1,C3,Sample15,10/5/2017 1:55:29 PM,297960,209680,7040,7278,19607,8832
1,Specimen1,1,C1,Sample16,10/5/2017 1:57:01 PM,245940,72460,2940,5156,20200,8522
1,Specimen1,1,C2,Sample17,10/5/2017 1:58:32 PM,241100,79380,2400,6128,17118,8702
1,Specimen1,1,C3,Sample18,10/5/2017 2:00:03 PM,271600,95080,3020,7355,18770,8865
1,Specimen1,1,D1,Sample58,10/5/2017 2:01:35 PM,17290,730,270,15449,17113,7355
1,Specimen1,1,D2,Sample59,10/5/2017 2:03:53 PM,16380,150,180,20133,9377,6971
