Specimen ID,Specimen,Plate ID,Well ID,Sample,Run Time,All Abs. Count,mChe+SYTO-9 Abs. Count,SYTO-9 Abs. Count,SYTO-9 Mean FITC-H,mChe+SYTO-9 Mean FITC-H,mChe+SYTO-9 Mean PE-Texas Red-H
1,MixedC_StainedSYTO9,1,A1,Sample1,10/11/2017 2:30:12 PM,541580,1600,230740,48300,182188,7988
1,MixedC_StainedSYTO9,1,A2,Sample2,10/11/2017 2:31:44 PM,423020,1600,208980,57093,217766,9311
1,MixedC_StainedSYTO9,1,A3,Sample3,10/11/2017 2:33:15 PM,423540,1340,226420,72498,173154,11471
1,MixedC_StainedSYTO9,1,A1,Sample4,10/11/2017 2:34:47 PM,415480,1140,216660,48199,99878,11062
1,MixedC_StainedSYTO9,1,A2,Sample5,10/11/2017 2:36:18 PM,388180,840,191740,56021,214914,11471
1,MixedC_StainedSYTO9,1,A3,Sample6,10/11/2017 2:37:50 PM,424840,1300,227540,70458,117295,8842
1,MixedC_StainedSYTO9,1,G1,Sample10,10/11/2017 2:39:21 PM,152750,220,34000,3573,10790,3113
1,MixedC_StainedSYTO9,1,C1,Sample11,10/11/2017 2:41:40 PM,510640,332900,30100,20063,33252,4128
1,MixedC_StainedSYTO9,1,C2,Sample12,10/11/2017 2:43:11 PM,567840,376620,39520,22723,44575,4847
1,MixedC_StainedSYTO9,1,C3,Sample13,10/11/2017 2:44:43 PM,499980,303020,44140,21430,37482,4370
1,MixedC_StainedSYTO9,1,C1,Sample14,10/11/2017 2:46:14 PM,531440,342500,29280,19770,33005,4183
1,MixedC_StainedSYTO9,1,C2,Sample15,10/11/2017 2:47:46 PM,581360,383340,39120,20019,43819,4878
1,MixedC_StainedSYTO9,1,C3,Sample16,10/11/2017 2:49:17 PM,525980,314440,43380,21889,39984,4481
1,MixedC_StainedSYTO9,1,G2,Sample20,10/11/2017 2:50:49 PM,150150,990,66120,2629,65585,3246
1,MixedC_StainedSYTO9,1,E1,Sample21,10/11/2017 2:53:07 PM,528840,273000,75440,42683,59847,4492
1,MixedC_StainedSYTO9,1,E2,Sample22,10/11/2017 2:54:38 PM,532480,294280,77960,34493,44891,4324
1,MixedC_StainedSYTO9,1,E3,Sample23,10/11/2017 2:56:10 PM,534820,271140,99040,37799,48025,4316
1,MixedC_StainedSYTO9,1,E1,Sample24,10/11/2017 2:57:41 PM,499720,259740,68640,39988,53848,4282
1,MixedC_StainedSYTO9,1,E2,Sample25,10/11/2017 2:59:13 PM,540800,294420,73880,33822,48017,4600
1,MixedC_StainedSYTO9,1,E3,Sample26,10/11/2017 3:00:44 PM,536380,263600,98140,35940,45986,4306
1,MixedC_StainedSYTO9,1,G3,Sample30,10/11/2017 3:02:16 PM,153010,1160,58990,2476,28374,4629
2,Toluene_StainedSYTO9,1,A4,Sample1,10/11/2017 3:04:34 PM,166920,220,15860,11228,310916,9432
2,Toluene_StainedSYTO9,1,A5,Sample2,10/11/2017 3:06:06 PM,159380,140,15100,11038,134137,5470
2,Toluene_StainedSYTO9,1,A6,Sample3,10/11/2017 3:07:37 PM,168480,260,18200,10387,129564,3825
2,Toluene_StainedSYTO9,1,A4,Sample4,10/11/2017 3:09:09 PM,176020,200,15300,10050,223860,5143
2,Toluene_StainedSYTO9,1,A5,Sample5,10/11/2017 3:10:40 PM,182260,260,16480,10377,382657,14092
2,Toluene_StainedSYTO9,1,A6,Sample6,10/11/2017 3:12:12 PM,182000,240,18220,10614,406869,9242
2,Toluene_StainedSYTO9,1,G4,Sample10,10/11/2017 3:13:43 PM,147940,260,80290,4075,18389,3262
2,Toluene_StainedSYTO9,1,C4,Sample11,10/11/2017 3:16:01 PM,314860,160200,20540,30241,86823,4252
2,Toluene_StainedSYTO9,1,C5,Sample12,10/11/2017 3:17:33 PM,357240,194760,28080,41682,107673,4414
2,Toluene_StainedSYTO9,1,C6,Sample13,10/11/2017 3:19:04 PM,468000,295420,34760,39891,112232,4628
2,Toluene_StainedSYTO9,1,C4,Sample14,10/11/2017 3:20:36 PM,323440,159900,21240,29855,83346,4302
2,Toluene_StainedSYTO9,1,C5,Sample15,10/11/2017 3:22:07 PM,363480,196460,26140,37709,106723,4464
2,Toluene_StainedSYTO9,1,C6,Sample16,10/11/2017 3:23:39 PM,469300,294380,34200,37398,112935,4710
2,Toluene_StainedSYTO9,1,G5,Sample17,10/11/2017 3:25:10 PM,146640,780,73750,3080,61781,3156
2,Toluene_StainedSYTO9,1,E4,Sample18,10/11/2017 3:27:29 PM,423800,229660,35020,40933,112786,4409
2,Toluene_StainedSYTO9,1,E5,Sample19,10/11/2017 3:29:00 PM,299780,118120,32420,42085,97808,4362
2,Toluene_StainedSYTO9,1,E6,Sample20,10/11/2017 3:30:32 PM,391820,203200,39760,22641,107278,4863
2,Toluene_StainedSYTO9,1,E4,Sample21,10/11/2017 3:32:03 PM,432380,236120,33420,37697,111923,4427
2,Toluene_StainedSYTO9,1,E5,Sample22,10/11/2017 3:33:35 PM,298740,120020,30500,38657,94829,4415
2,Toluene_StainedSYTO9,1,E6,Sample23,10/11/2017 3:35:06 PM,393900,204180,39820,22889,106324,4966
2,Toluene_StainedSYTO9,1,G6,Sample24,10/11/2017 3:36:38 PM,150150,560,68020,2677,54206,3230
2,Toluene_StainedSYTO9,1,H1,Sample25,10/11/2017 3:38:56 PM,141700,120,20860,1923,34858,3943
2,Toluene_StainedSYTO9,1,H2,Sample26,10/11/2017 3:40:28 PM,138840,140,27280,2267,30537,6032
3,MixedC_Nonstained,1,A7,Sample1,10/11/2017 3:41:59 PM,451620,360,102460,12374,12126,3300
3,MixedC_Nonstained,1,A8,Sample2,10/11/2017 3:43:31 PM,474500,320,110300,9392,6553,3221
3,MixedC_Nonstained,1,A9,Sample3,10/11/2017 3:45:02 PM,655460,660,218040,8321,8264,3653
