Specimen ID,Specimen,Plate ID,Well ID,Sample,Run Time,All Abs. Count,mChe+SYTO-9 Abs. Count,SYTO-9 Abs. Count,SYTO-9 Mean FITC-H,mChe+SYTO-9 Mean FITC-H,mChe+SYTO-9 Mean PE-Texas Red-H
1,MixedC_StainedSYTO9,1,A1,Sample1,10/11/2017 8:14:09 PM,692900,3260,382420,58960,401988,11631
1,MixedC_StainedSYTO9,1,A2,Sample2,10/11/2017 8:15:40 PM,785200,4840,451340,67489,214253,16821
1,MixedC_StainedSYTO9,1,A3,Sample3,10/11/2017 8:17:11 PM,614120,3520,371140,86885,379125,23354
1,MixedC_StainedSYTO9,1,A1,Sample4,10/11/2017 8:18:43 PM,577200,2180,315320,63027,427731,10694
1,MixedC_StainedSYTO9,1,A2,Sample5,10/11/2017 8:20:14 PM,745940,3340,417380,68913,258044,11624
1,MixedC_StainedSYTO9,1,A3,Sample6,10/11/2017 8:21:46 PM,591500,3720,350820,90765,596530,14069
1,MixedC_StainedSYTO9,1,G1,Sample10,10/11/2017 8:23:17 PM,82940,200,6220,12614,15763,3907
1,MixedC_StainedSYTO9,1,C1,Sample11,10/11/2017 8:25:36 PM,707980,537120,27840,12878,14494,3954
1,MixedC_StainedSYTO9,1,C2,Sample12,10/11/2017 8:27:07 PM,720720,535840,37860,15588,20845,4166
1,MixedC_StainedSYTO9,1,C3,Sample13,10/11/2017 8:28:39 PM,774280,568560,51280,24498,25461,3915
1,MixedC_StainedSYTO9,1,C1,Sample14,10/11/2017 8:30:10 PM,728260,549780,25720,13804,14601,4081
1,MixedC_StainedSYTO9,1,C2,Sample15,10/11/2017 8:31:42 PM,712920,527640,32920,14719,23588,4739
1,MixedC_StainedSYTO9,1,C3,Sample16,10/11/2017 8:33:13 PM,780520,568100,51860,23129,25820,3971
1,MixedC_StainedSYTO9,1,G2,Sample20,10/11/2017 8:34:45 PM,79300,1880,5390,5077,15624,3307
1,MixedC_StainedSYTO9,1,E1,Sample21,10/11/2017 8:37:03 PM,597220,343820,82420,59386,15835,4008
1,MixedC_StainedSYTO9,1,E2,Sample22,10/11/2017 8:38:35 PM,766220,497180,98220,61871,20211,3987
1,MixedC_StainedSYTO9,1,E3,Sample23,10/11/2017 8:40:06 PM,745420,417360,146900,36238,21203,3983
1,MixedC_StainedSYTO9,1,E1,Sample24,10/11/2017 8:41:38 PM,592280,343380,77680,57306,16533,4343
1,MixedC_StainedSYTO9,1,E2,Sample25,10/11/2017 8:43:09 PM,753740,484200,96100,63294,19865,4115
1,MixedC_StainedSYTO9,1,E3,Sample26,10/11/2017 8:44:41 PM,736320,411380,135480,38692,20462,4120
1,MixedC_StainedSYTO9,1,G3,Sample30,10/11/2017 8:46:12 PM,82160,1790,6510,4622,11131,3355
2,Toluene_StainedSYTO9,1,A4,Sample1,10/11/2017 8:48:30 PM,158600,420,15460,15440,183489,5842
2,Toluene_StainedSYTO9,1,A5,Sample2,10/11/2017 8:50:02 PM,155480,400,15020,13775,108832,4298
2,Toluene_StainedSYTO9,1,A6,Sample3,10/11/2017 8:51:33 PM,160160,140,17540,18900,140964,6048
2,Toluene_StainedSYTO9,1,A4,Sample4,10/11/2017 8:53:05 PM,171860,180,15400,17737,185357,4713
2,Toluene_StainedSYTO9,1,A5,Sample5,10/11/2017 8:54:36 PM,169780,260,15200,11714,172061,8254
2,Toluene_StainedSYTO9,1,A6,Sample6,10/11/2017 8:56:08 PM,180180,380,21000,15530,178272,7160
2,Toluene_StainedSYTO9,1,G4,Sample10,10/11/2017 8:57:39 PM,78000,220,8940,1974,13554,3757
2,Toluene_StainedSYTO9,1,C4,Sample11,10/11/2017 8:59:58 PM,769860,610940,28460,58961,90085,5216
2,Toluene_StainedSYTO9,1,C5,Sample12,10/11/2017 9:01:29 PM,1432080,1253300,45440,73440,100029,5325
2,Toluene_StainedSYTO9,1,C6,Sample13,10/11/2017 9:03:01 PM,1717820,1515620,64040,59235,105345,5335
2,Toluene_StainedSYTO9,1,C4,Sample14,10/11/2017 9:04:32 PM,793260,622520,27900,54766,88982,5301
2,Toluene_StainedSYTO9,1,C5,Sample15,10/11/2017 9:06:04 PM,1370720,1192820,43500,66771,101600,5498
2,Toluene_StainedSYTO9,1,C6,Sample16,10/11/2017 9:07:35 PM,1667900,1468900,60680,55018,105502,5414
2,Toluene_StainedSYTO9,1,G5,Sample17,10/11/2017 9:09:07 PM,77740,2350,12240,6804,66323,3778
2,Toluene_StainedSYTO9,1,E4,Sample18,10/11/2017 9:11:25 PM,998920,789660,58800,65228,89404,5419
2,Toluene_StainedSYTO9,1,E5,Sample19,10/11/2017 9:12:57 PM,731640,562300,35200,70501,103088,5259
2,Toluene_StainedSYTO9,1,E6,Sample20,10/11/2017 9:14:28 PM,1304160,1114560,44860,60700,97484,5914
2,Toluene_StainedSYTO9,1,E4,Sample21,10/11/2017 9:16:00 PM,998660,784360,56740,55372,90253,5538
2,Toluene_StainedSYTO9,1,E5,Sample22,10/11/2017 9:17:31 PM,716040,547180,31580,63827,103088,5347
